DonorName,USD_Disbursement_Defl_original,USD_Disbursement_Defl_subset,percentage
Adaptation Fund,592.032415,592.032415,1
African Development Bank,59639.3130349999,48086.128351,0.806282398370018
African Development Fund,51983.4202279998,29995.678457,0.577023949663925
Arab Bank for Economic Development in Africa,613.316812,402.251394,0.655862331065532
Arab Fund (AFESD),11294.601068,11294.601068,1
Arcadia Fund,296.833154,296.833154,1
Arcus Foundation,152.925754,152.925754,1
Asian Development Bank,178189.383129002,165488.943262001,0.928725047227951
Asian Forest Cooperation Organisation,3.686,3.686,1
Asian Infrastructure Investment Bank,19977.859205,19977.859205,1
Australia,63739.8168530017,40656.9135200001,0.637857394754743
Austria,19067.5527469997,11453.5304099999,0.600681721559789
Azerbaijan,110.096578,110.096578,1
Belgium,34156.190288,22999.1671599999,0.673352823194691
Bernard van Leer Foundation,83.8607219999999,83.8607219999999,1
Bezos Earth Fund,845.157911999999,845.157911999999,1
Bill & Melinda Gates Foundation,51126.5781000003,51123.6201940003,0.999942145433747
Black Sea Trade & Development Bank,836.801113,836.801113,1
Bloomberg Family Foundation,1521.67716599999,1521.67716599999,1
Bulgaria,207.091609,207.091609,1
CGIAR,82.847,82.847,1
COVID-19 Response and Recovery Multi-Partner Trust Fund,22.039355,22.039355,1
Canada,77025.6968399984,51943.9259219993,0.674371385823355
Caribbean Development Bank,1137.931413,981.093389,0.862172691422132
Carnegie Corporation of New York,138.317049,138.317049,1
Center of Excellence in Finance,7.743024,7.743024,1
Central American Bank for Economic Integration,6410.346996,6410.346996,1
Central Emergency Response Fund,3682.353523,3682.353523,1
Charity Projects Ltd (Comic Relief),409.623307,409.623307,1
Children's Investment Fund Foundation,1866.836716,1866.821987,0.999992110183031
Chinese Taipei,1869.663826,1869.663826,1
Citi Foundation,145.596325,145.596325,1
Climate Investment Funds,3101.8,2853.767516,0.920035952027856
Conrad N. Hilton Foundation,787.623716000003,787.623716000003,1
Council of Europe Development Bank,5172.223793,5172.223793,1
Croatia,222.979772999999,222.869611999999,0.999505959672853
Cyprus,24.646629,24.646629,1
Czechia,1706.501761,1627.255629,0.953562232509176
David and Lucile Packard Foundation,904.392569999998,904.392569999998,1
Denmark,36705.8400909999,29748.5223040003,0.810457470262191
Development Bank of Latin America,51075.095588,51075.095588,1
Dutch Postcode Lottery,1625.902547,1625.902547,1
EU Institutions,360470.645830009,203488.090030001,0.564506686977118
Enhanced Integrated Framework (EIF),17.331311,7.167613,0.413564386444857
Estonia,343.83807,343.754807,0.999757842405293
European Bank for Reconstruction and Development,70012.15014,38005.5871920001,0.542842736810712
Finland,14238.175068,9904.5022890001,0.695630039783697
Fondation Botnar,309.54054,309.54054,1
Food and Agriculture Organisation,3116.88496599999,3055.66189599999,0.980357610028011
Ford Foundation,1652.689086,1652.689086,1
France,198396.901933011,156848.204594009,0.790577892425804
Gatsby Charitable Foundation,120.039326,120.039326,1
German Postcode Lottery,18.248645,18.248645,1
Germany,342369.387235999,278412.604214995,0.813193628269931
Global Alliance for Vaccines and Immunization,22443.137753,17534.852378,0.781301285541328
Global Environment Facility,12834.859565,12834.859565,1
Global Fund,60121.0735289999,40955.7329119999,0.681220918190102
Global Green Growth Institute,129.18601,129.18601,1
Gordon and Betty Moore Foundation,512.205569,512.205569,1
Greece,2927.62489600001,1932.595557,0.660124034209606
Green Climate Fund,3173.748596,3173.748596,1
H&M Foundation,119.055139,113.574569,0.953966119849728
